id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,aid_conditioning,has_security,has_pool,has_outbuilding,street_quality,domestic_use_of_groundfloor,street_lanes,tourist_area,environmental_hazard,main_road_high_visibility,informal_settlement,commercial_corridor,has_water
FCC0024285,8.47623,-13.1851,2282.79,Domestic,Industrial Warehouse,NA,Difficult,No,Yes,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Bad Road,Yes,One,No,No,No,No,No,No
FCC0024451,8.4652,-13.1803,762.87,Commercial,Industrial Warehouse,NA,Easy,No,No,Zinc,Average,No,Zinc / Metal Sheeting,Good,Wood,No,No,No,No,Bad Road,No,None,No,No,No,No,No,No
FCC0024537,8.485,-13.2685,258.27,Commercial,Industrial Warehouse,NA,Difficult,No,No,Masonry,Good,No,Zinc / Metal Sheeting,Good,Sliding panels with aluminium frame,No,No,No,No,Bad Road,No,None,No,No,No,No,No,No
FCC0024729,8.47845,-13.2121,664.58,Commercial,Industrial Manufacturing,NA,Difficult,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0024826,8.48838,-13.2283,207.89,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,Yes,No,Yes,Average Road,No,Two,No,No,No,No,No,No
FCC0025432,8.43649,-13.1557,1859.1801,Commercial,Industrial Manufacturing,NA,Difficult,No,No,Masonry,Bad,No,Zinc / Metal Sheeting,Bad,No Windows,No,No,No,No,Bad Road,No,None,No,Yes,No,Yes,No,No
FCC0026368,8.49535,-13.2696,943.16,Commercial,Industrial Manufacturing,NA,Easy,No,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Bad,No Windows,No,No,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0026541,8.48976,-13.2248,266.18,Commercial,Industrial Manufacturing,NA,Difficult,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,None,No,No,No,No,No,No
FCC0027487,8.45392,-13.1697,863,Commercial,Industrial Warehouse,NA,Easy,No,Yes,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0027609,8.44516,-13.1618,1059.0601,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Masonry,Bad,No,Zinc / Metal Sheeting,Average,No Windows,No,Yes,No,Yes,Average Road,No,Four,No,No,No,No,No,Yes
